cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2021-20313,PasskeyDecipherImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,RelinquishVirtualMemory,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6
CVE-2021-20313,sRGBTransformImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,WriteTHUMBNAILImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20309,WaveImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20310,ConvertXYZToJzazbz,0,0,0,,,,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,6
CVE-2021-3574,ReadTIFFImage,0,0,0,,,,,,,7.0.11-5;7.0.11-8;7.0.11-9;7.0.11-10,4
CVE-2021-3610,ReadTIFFImage,0,0,0,,,,,,,7.0.11-13;7.0.11-12;7.0.11-11;7.0.11-14;7.1.0-0;7.1.0-1,6
CVE-2023-34153,ReadVIDEOImage,4,3,1,7.1.0-1;7.1.0-2,,,,,,,6
CVE-2023-34153,IsVIDEO,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,7.1.0-1;7.1.0-2;7.1.0-0;7.1.1-11;7.1.1-12;7.1.1-13,,6
CVE-2023-3195,ReadTIFFImage,0,0,0,,,,,,,7.1.1-0;7.1.1-1;7.1.1-2;7.1.1-3;7.1.1-4,5
CVE-2021-3962,ReadDCMImage,0,0,0,,,,7.1.0-14;7.1.0-15;7.1.0-16;7.1.0-17,,,,4
