cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-13050,rpki_rtr_pdu_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13051,rsvp_obj_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13052,cfm_network_addr_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13052,cfm_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13053,decode_rt_routing_info,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13054,lldp_private_8023_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13055,isis_print_is_reach_subtlv,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13687,chdlc_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13688,olsr_print,5,2,3,,4.9.3,,,,6
CVE-2017-13689,ikev1_id_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev1_sub_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev1_cr_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev1_sig_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev1_cert_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev2_ID_print,6,3,3,,,,,,6
CVE-2017-13690,ikev2_vid_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev2_gen_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev1_hash_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev2_sa_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev2_sub_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev1_vid_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13690,ikev2_auth_print,6,3,3,,,,,,6
CVE-2017-13690,ikev2_p_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13690,ikev2_ke_print,6,3,3,,,,,,6
CVE-2017-13690,ikev1_ke_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13725,rt6_print,6,3,3,,,,,,6
CVE-2018-14461,ldp_tlv_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14461,ldp_pdu_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14462,icmp_print,3,3,0,4.9.2;4.9.1;4.9.0,,,,,6
CVE-2018-14463,vrrp_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-14464,lmp_print,3,3,0,4.9.2;4.9.1;4.9.0,,,,,6
CVE-2018-14464,lmp_print_data_link_subobjs,3,3,0,4.9.2,,,,4.9.1;4.9.0,6
CVE-2018-14465,rsvp_obj_print,3,3,0,4.9.2;4.9.1;4.9.0,,,,,6
CVE-2018-14466,rx_cache_insert,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14466,rx_cache_find,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14467,bgp_capabilities_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14468,mfr_print,3,3,0,4.9.2;4.9.1;4.9.0,,,,,6
CVE-2018-14469,ikev1_n_print,3,3,0,4.9.2;4.9.1;4.9.0,,,,,6
CVE-2018-14470,babel_print_v2,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14881,bgp_capabilities_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2019-15166,lmp_print,1,0,1,4.9.1;4.9.0,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2019-15166,lmp_print_data_link_subobjs,3,3,0,4.9.2,,,,4.9.1;4.9.0,6
CVE-2019-15167,vrrp_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-14880,ospf6_print_lshdr,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-14882,mldv2_query_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14882,icmp6_rrenum_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-14882,rpl_dio_printopt,1,1,0,4.9.2;4.9.1;4.9.0,,,,4.99.0-bp;4.99-bp,6
CVE-2018-14882,rpl_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-14882,icmp6_opt_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2018-14882,rpl_daoack_print,0,0,0,,,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6
