project,cve_id,commit,function,basic_blocks,binary_file
libxml2,CVE-2022-40303,c846986356fc,xmlParseAttValueInternal,128,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseAttValueComplex,216,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseNCName,35,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseName,35,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParsePI,123,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseNmtoken,77,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParsePubidLiteral,60,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseComment,108,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseCommentComplex,171,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2020-7595,0e1a49c89076,xmlStringLenDecodeEntities,146,CVE-2020-7595-patch-0e1a49c-libxml2
